seed,epoch,encoder_learning_rate,head_learning_rate,train_objective,train_balanced_binary_cross_entropy,train_moe_loss,validation_balanced_binary_cross_entropy,validation_moe_loss,validation_micro_map,validation_macro_map,validation_micro_f1
0,1,5e-05,0.0005,1.0351234072685243,1.0351234072685243,0.010996913583576679,1.0009104089736938,0.01104467649012804,0.36175868609472245,0.2488464706165544,0.37300297860817766
0,2,0.0001,0.001,0.8376928763389587,0.8269662611961365,0.010726616977155209,0.7975485420227051,0.01071813828498125,0.5122192316493445,0.39319456299791616,0.4213311622226745
0,3,0.0001,0.001,0.7283220631599426,0.7176631806373596,0.010658882634341716,0.7316686410903931,0.010706354185938835,0.5545361512920233,0.4498875770754923,0.44097293593696474
0,4,9.915716843435315e-05,0.0009915716843435316,0.6797291996955872,0.6690953507423401,0.0106338489189744,0.7077995543479919,0.01066855574399233,0.5784775587510171,0.48236013782398957,0.4498977505112474
0,5,9.665737535551561e-05,0.0009665737535551561,0.6497489510536194,0.6391446655273437,0.010604285189509392,0.6763052158355712,0.010635976538062095,0.5947013234968845,0.5038119817081479,0.4761004001455075
0,6,9.258574821861591e-05,0.000925857482186159,0.6285334941864014,0.6179418659210205,0.0105916279733181,0.6656660146713257,0.010630367204546928,0.6097733452334338,0.5174878567504594,0.49095022624434387
0,7,8.708094140242264e-05,0.0008708094140242263,0.6114132407188415,0.6008400408744812,0.010573200309276581,0.6579995613098144,0.010609631456434726,0.6190952434237418,0.5301734352231197,0.48631950573698146
0,8,8.03304145007732e-05,0.000803304145007732,0.5961752139091492,0.5856180375099183,0.010557175824046135,0.6468723392486573,0.01060840792953968,0.6313530463011638,0.5374689121012012,0.4974718889140442
0,9,7.256404861093866e-05,0.0007256404861093865,0.5853998536109924,0.5748539569854736,0.010545897936820984,0.6370780267715455,0.010582348622381688,0.6366001820185698,0.5538062028777752,0.4977463942307692
0,10,6.404631800856812e-05,0.0006404631800856811,0.5741554837226868,0.5636148942947388,0.01054059021472931,0.6297400331497193,0.010577688284218312,0.6431967346222115,0.5599916254415529,0.5099922540666151
0,11,5.5067283793433455e-05,0.0005506728379343345,0.5660238147735596,0.5554935687065125,0.01053024616241455,0.6191205501556396,0.01057908957451582,0.6523177577632876,0.5641756332093535,0.5112885885424666
0,12,4.5932716206566554e-05,0.00045932716206566556,0.5576298999786377,0.5471068898200989,0.010523007863759995,0.620256667137146,0.010563139274716377,0.6504632187325531,0.5651251351810944,0.5160092807424594
0,13,3.6953681991431905e-05,0.000369536819914319,0.5517083442687988,0.5411879165649414,0.01052042738199234,0.6179690341949463,0.010560394063591957,0.6531458784080975,0.5695485326652411,0.5152431929252967
0,14,2.843595138906136e-05,0.0002843595138906136,0.5472835871219635,0.5367685557365417,0.010515031588077544,0.6148829374313355,0.010554997645318509,0.6578853356207923,0.5718350569678894,0.5171984435797665
0,15,2.0669585499226815e-05,0.00020669585499226813,0.5425223113059997,0.5320022415161133,0.010520068489015103,0.6127490739822388,0.010559311032295227,0.6588586342060772,0.575046713658282,0.5239636794315041
0,16,1.391905859757738e-05,0.0001391905859757738,0.5392136227607727,0.5287004364013672,0.010513186115026473,0.610978015422821,0.010558161526918412,0.6590678400640158,0.5768663758787685,0.5218073423282084
0,17,8.414251781384107e-06,8.414251781384106e-05,0.5374896710395813,0.5269717314720154,0.010517939385771752,0.6106224155426025,0.010560460232198239,0.6604023938005383,0.5768221584134473,0.523517382413088
0,18,4.342624644484393e-06,4.342624644484393e-05,0.5356873606204987,0.5251696722984314,0.010517686906456948,0.6112581233978271,0.010557537637650967,0.6603948122765848,0.5766594186545125,0.5242151758952516
0,19,1.8428315656468617e-06,1.8428315656468615e-05,0.5353445432662964,0.5248300834655761,0.010514457914233208,0.6104896240234375,0.010558407455682754,0.6607646467386123,0.5770956173625184,0.5242856018263402
0,20,1.0000000000000002e-06,1e-05,0.534006252527237,0.5234918940544129,0.010514356830716134,0.6103087177276612,0.010558922857046127,0.6607277032476804,0.5774692299256607,0.5246056782334385
